Date,Message,Classification,Name,Johor,Woodlands,Tuas,Availability,Day
2024-11-23 13:45:00,,,,,,,0,Saturday
2024-11-23 14:00:00,,,,,,,0,Saturday
2024-11-23 15:00:00,,,,,,,0,Saturday
2024-11-23 15:15:00,,,,,,,0,Saturday
2024-11-23 16:15:00,,,,,,,0,Saturday
2024-11-23 16:30:00,,,,,,,0,Saturday
2024-11-23 17:30:00,,,,,,,1,Saturday
2024-11-23 17:45:00,,,,,,,0,Saturday
2024-11-23 18:45:00,,,,,,,0,Saturday
2024-11-23 19:00:00,,,,,,,0,Saturday
2024-11-23 20:00:00,,,,,,,158,Saturday
2024-11-23 20:15:00,,,,,,,0,Saturday
2024-11-23 21:15:00,,,,,,,210,Saturday
2024-11-23 21:30:00,,,,,,,0,Saturday
2024-11-23 22:30:00,,,,,,,241,Saturday
2024-11-23 22:45:00,,,,,,,0,Saturday
2024-11-23 23:45:00,,,,,,,279,Saturday
2024-11-24 05:00:00,,,,,,,297,Sunday
2024-11-24 05:30:00,,,,,,,285,Sunday
2024-11-24 06:00:00,,,,,,,260,Sunday
2024-11-24 06:30:00,,,,,,,289,Sunday
2024-11-24 07:00:00,,,,,,,279,Sunday
2024-11-24 07:30:00,,,,,,,213,Sunday
2024-11-24 08:30:00,,,,,,,0,Sunday
2024-11-24 08:45:00,,,,,,,2,Sunday
2024-11-24 09:45:00,,,,,,,0,Sunday
2024-11-24 10:00:00,,,,,,,4,Sunday
2024-11-24 11:00:00,,,,,,,0,Sunday
2024-11-24 11:30:00,,,,,,,0,Sunday
2024-11-24 12:30:00,,,,,,,0,Sunday
2024-11-24 12:45:00,,,,,,,0,Sunday
2024-11-24 13:45:00,,,,,,,1,Sunday
2024-11-24 14:00:00,,,,,,,0,Sunday
2024-11-24 15:00:00,,,,,,,109,Sunday
2024-11-24 15:15:00,,,,,,,0,Sunday
2024-11-24 16:15:00,,,,,,,267,Sunday
2024-11-24 16:30:00,,,,,,,0,Sunday
2024-11-24 17:30:00,,,,,,,240,Sunday
2024-11-24 17:45:00,,,,,,,0,Sunday
2024-11-24 18:45:00,,,,,,,255,Sunday
2024-11-24 19:00:00,,,,,,,0,Sunday
2024-11-24 20:00:00,,,,,,,269,Sunday
2024-11-24 20:15:00,,,,,,,0,Sunday
2024-11-24 21:15:00,,,,,,,259,Sunday
2024-11-24 21:30:00,,,,,,,0,Sunday
2024-11-24 22:30:00,,,,,,,291,Sunday
2024-11-24 22:45:00,,,,,,,0,Sunday
2024-11-24 23:45:00,,,,,,,310,Sunday
2024-11-25 05:00:00,,,,,,,0,Monday
2024-11-25 05:30:00,,,,,,,0,Monday
2024-11-25 06:00:00,,,,,,,0,Monday
2024-11-25 06:30:00,,,,,,,0,Monday
2024-11-25 07:00:00,,,,,,,0,Monday
2024-11-25 07:30:00,,,,,,,0,Monday
2024-11-25 08:30:00,,,,,,,1,Monday
2024-11-25 08:45:00,,,,,,,0,Monday
2024-11-25 09:45:00,,,,,,,0,Monday
2024-11-25 10:00:00,,,,,,,161,Monday
2024-11-25 11:00:00,,,,,,,0,Monday
2024-11-25 11:30:00,,,,,,,156,Monday
2024-11-25 12:30:00,,,,,,,1,Monday
2024-11-25 12:45:00,,,,,,,0,Monday
2024-11-25 13:45:00,,,,,,,0,Monday
2024-11-25 15:15:00,,,,,,,1,Monday
2024-11-25 16:15:00,,,,,,,200,Monday
2024-11-25 16:30:00,,,,,,,0,Monday
2024-11-25 17:30:00,,,,,,,260,Monday
2024-11-25 17:45:00,,,,,,,0,Monday
2024-11-25 18:45:00,,,,,,,43,Monday
2024-11-25 19:00:00,,,,,,,0,Monday
2024-11-25 20:00:00,,,,,,,66,Monday
2024-11-25 20:15:00,,,,,,,0,Monday
2024-11-25 21:15:00,,,,,,,241,Monday
2024-11-25 21:30:00,,,,,,,0,Monday
2024-11-25 22:30:00,,,,,,,283,Monday
2024-11-25 22:45:00,,,,,,,1,Monday
2024-11-25 23:45:00,,,,,,,309,Monday
2025-04-26 14:56:00,"Sat = grab is ex
Raining = even worse",1,,,,,,Saturday
2025-04-26 14:56:00,ððððð oki thanks bosss,1,,,,,,Saturday
2025-04-26 15:04:00,Howâs the human queue at woodlands?,0,,,,,,Saturday
2025-04-26 15:06:00,Minimal to zero queue,1,,,,,,Saturday
2025-04-26 15:33:00,Howâs the queue at woodlands CIQ to JB? Thank you,1,,,,,,Saturday
2025-04-26 15:35:00,No queue at CIQ. No queue at SG custom also. Rain has subsided so no queue along bus lane from SG to JB,0,,,,,,Saturday
2025-04-26 16:25:00,"Tuas Checkpoint

DM @CT_IMG_BOT for updated traffic cameras images.",1,,,,,,Saturday
2025-04-26 16:25:00,"Tuas Second Link

DM @CT_IMG_BOT for updated traffic cameras images.",2,,,,,,Saturday
2025-04-26 16:25:00,"AYE(Tuas) - Tuas Ave 8 Exit

DM @CT_IMG_BOT for updated traffic cameras images.",1,,,,,,Saturday
2025-04-26 16:25:00,"Woodlands Checkpoint

DM @CT_IMG_BOT for updated traffic cameras images.",1,,,,,,Saturday
2025-04-26 16:25:00,"Woodlands Causeway (Towards Johor)

DM @CT_IMG_BOT for updated traffic cameras images.",1,,,,,,Saturday
2025-04-26 16:25:00,"BKE (Woodlands Checkpoint) - Woodlands F/O

DM @CT_IMG_BOT for updated traffic cameras images.",1,,,,,,Saturday
2025-04-26 16:35:00,Is there any q at bugis? Cw bus,1,,,,,,Saturday
2025-04-26 16:51:00,Hi hows the queue from JB to SG? ð¬,2,,,,,,Saturday
2025-04-26 16:55:00,Hai,1,,,,,,Saturday
2025-04-26 16:57:00,No q,1,,,,,,Saturday
2025-04-26 17:06:00,TouchnGo card can not be used on buses?,0,,,,,,Saturday
2025-04-26 17:07:00,I toped up 100 ringgit.  And it is useless for me.,1,,,,,,Saturday
2025-04-26 17:14:00,@admin,1,,,,,,Saturday
2025-04-26 17:14:00,Reported ff [2046076668] to admins.â,1,,,,,,Saturday
2025-04-26 17:30:00,"ð£ Welcome to the group Manisha.

âï¸FAQ: Your question is likely answered here!

ð¦We share real time traffic updates for your trips to Johor if youâre taking the bus! ð

ð¥° The success of this group depends entirely on the contributions of the community. Sharing is caring! 

Feel free to ask the community on traffic updates - but more importantly, share with the community. ð

Remember to complete your captcha by clicking the button below.

This is an automatic response. Do not reply to this message.",0,,,,,,Saturday
2025-04-26 17:32:00,,,,37,21,12,,Saturday
